"date","followers","following","tweets","favorites"
"2021-10-27",4014,399,1327,2035
"2021-10-26",4016,399,1325,2032
"2021-10-25",4017,399,1323,2029
"2021-10-24",4013,399,1322,2027
"2021-10-23",4012,398,1320,2025
"2021-10-22",4010,398,1320,2024
"2021-10-21",4006,394,1318,2025
"2021-10-20",4003,394,1312,2015
"2021-10-19",3997,393,1308,2013
"2021-10-18",3993,392,1306,2011
"2021-10-17",3992,392,1305,2006
"2021-10-16",3988,392,1304,2004
"2021-10-15",3985,391,1304,2002
"2021-10-14",3986,391,1304,2003
"2021-10-13",3986,391,1301,1999
"2021-10-12",3977,390,1298,1991
"2021-10-11",3979,390,1298,1989
"2021-10-10",3972,390,1298,1988
"2021-10-09",3972,390,1297,1983
"2021-10-08",3973,390,1293,1979
"2021-10-07",3972,389,1292,1972
"2021-10-06",3969,387,1292,1973
"2021-10-05",3964,386,1291,1965
"2021-10-04",3953,386,1293,1985
"2021-10-03",3951,384,1277,1976
"2021-10-02",3942,383,1277,1976
"2021-10-01",3939,381,1276,1970
"2021-09-30",3931,374,1270,1955
"2021-09-29",3922,374,1268,1954
"2021-09-28",3901,372,1268,1953
"2021-09-27",3885,370,1266,1946
"2021-09-26",3879,369,1259,1943
"2021-09-25",3879,369,1259,1944
"2021-09-24",3881,369,1259,1942
"2021-09-23",3879,369,1258,1938
"2021-09-22",3878,369,1257,1936
"2021-09-21",3874,369,1341,1938
"2021-09-20",3872,369,1338,1931
"2021-09-19",3866,369,1337,1936
"2021-09-18",3857,369,1337,1935
"2021-09-17",3852,369,1335,1930
"2021-09-16",3854,368,1335,1927
"2021-09-15",3844,367,1334,1921
"2021-09-14",3840,366,1334,1918
"2021-09-13",3837,365,1332,1916
"2021-09-12",3835,366,1332,1914
"2021-09-11",3833,366,1330,1913
"2021-09-10",3819,366,1330,1919
"2021-09-09",3804,365,1332,1914
"2021-09-08",3768,363,1324,1895
"2021-09-07",3732,361,1317,1880
"2021-09-06",3721,360,1313,1862
"2021-09-05",3680,359,1304,1835
"2021-09-04",3659,359,1299,1822
"2021-09-03",3600,357,1289,1799
"2021-09-02",3564,355,1276,1780
"2021-09-01",3384,354,1257,1752
"2021-08-31",3114,347,1206,1640
"2021-08-30",3050,345,1186,1568
"2021-08-29",2979,339,1166,1535
"2021-08-28",2920,337,1133,1497
"2021-08-27",2784,335,1122,1455
"2021-08-26",1755,333,1063,1273
"2021-08-25",1721,333,1054,1255
"2021-08-24",1641,333,1037,1237
"2021-08-23",1584,333,1018,1215
"2021-08-22",1551,332,1009,1207
"2021-08-21",1488,332,991,1183
"2021-08-20",1487,332,989,1179
"2021-08-19",1464,332,973,1155
"2021-08-18",1451,332,950,1129
"2021-08-17",1406,331,939,1119
"2021-08-16",1382,329,927,1094
"2021-08-15",1245,329,885,1035
"2021-08-14",1232,329,879,1027
"2021-08-13",1220,327,869,1011
"2021-08-12",1173,322,849,988
"2021-08-08",1047,319,809,932
"2021-08-07",1034,318,809,929
"2021-08-06",971,319,802,917
"2021-08-05",958,319,793,912
"2021-08-04",932,317,785,895
"2021-08-03",907,317,775,882
"2021-08-02",897,317,773,870
